repository_url,ecosystems,dependent_repos,has_rust,has_c,c_loc,cpp_loc,c_build_tools,brief_languages
https://github.com/github-linguist/linguist,rubygems,1611,1,1,31021,10484,CMake,"Objective-C,C,Ruby,Swift,Verilog,Perl,JavaScript,C++,Go,PHP,D,F#,Prolog,TypeScript,Java,Scheme,C#,Elixir,Common Lisp,Fortran,OCaml,GDScript,Solidity,Dart,Haskell,Python,Rust,Roc,Crystal,Elm,Mojo,Zig,Nim,COBOL,Emacs Lisp,Erlang,Gleam,Groovy,Lua,Odin,Clojure,Julia,Kotlin,Nix,R,VHDL"
https://gitlab.com/bzip2/bzip2,conda,1559,0,1,5861,0,"CMake,Meson","C,Python,Perl"
https://github.com/realm/jazzy,rubygems,1555,0,1,3020,0,"","Swift,JavaScript,C,Ruby,Objective-C"
https://github.com/scrapinghub/python-crfsuite,pypi,1548,0,1,11339,14921,"","C,Python,C++,Ruby,Perl"
https://github.com/trevors/bootstrap3-datetimepicker-rails,rubygems,1536,0,0,0,0,"","JavaScript,Ruby"
https://github.com/googlecloudplatform/gcloud-python,pypi,1523,0,0,423,937,"",Python
https://github.com/madsmtm/objc2,cargo,1472,1,1,152,0,"","Rust,C,Objective-C"
https://github.com/ethereum/eth-keyfile,pypi,1441,0,0,0,0,"","JavaScript,Python"
https://github.com/python-hyper/brotlicffi,pypi,1431,0,1,36514,2381,CMake,"C,Java,Python,C#,C++,Go,JavaScript,TypeScript,Kotlin"
https://github.com/jarib/celerity,rubygems,1415,0,0,0,0,"",Ruby
https://github.com/python-babel/flask-babel,pypi,1388,0,0,0,0,"",Python
https://github.com/unidata/netcdf4-python,"conda,pypi",1377,0,1,201,0,"","Python,C"
https://github.com/tenderlove/hana,rubygems,1358,0,0,0,0,"",Ruby
https://github.com/oaubert/python-vlc,pypi,1331,0,1,375,0,"","Python,C,Java"
https://github.com/iwillspeak/rust-onig,cargo,1328,1,1,91336,21,"","C,Rust,Python,C++"
https://github.com/danielkeep/rust-custom-derive,cargo,1312,1,0,0,0,"","Rust,Python"
https://github.com/rust-onig/rust-onig,cargo,1312,1,1,91336,21,"","C,Rust,Python,C++"
https://github.com/alexcrichton/xz2-rs,cargo,1291,1,1,24631,0,CMake,"C,Rust"
https://github.com/codykrieger/ace-rails-ap,rubygems,1286,0,1,0,34,"","JavaScript,Ruby,TypeScript,PHP,Haskell,Clojure,Common Lisp,C++,Crystal,C#,D,Dart,Elixir,Elm,Erlang,Fortran,Go,Groovy,Haxe,Java,Julia,Kotlin,Lua,Nim,Nix,Objective-C,OCaml,Perl,Python,Rust,Scala,Scheme,Swift,Tcl,Verilog,VHDL"
https://github.com/zarr-developers/numcodecs,pypi,1258,0,1,90388,599,"CMake,Meson","C,Python,C#,Ada,C++"
https://github.com/fonttools/pyclipper,pypi,1256,0,1,0,4101,"","C++,Python"
https://github.com/holoviz/param,pypi,1246,0,0,0,0,"",Python
https://github.com/aws/aws-cdk,pypi,1219,0,1,0,0,"","TypeScript,JavaScript,Python,Go"
https://github.com/ruby/curses,rubygems,1191,0,1,3913,0,"","Ruby,C"
https://github.com/cotes2020/jekyll-theme-chirpy,rubygems,1186,0,0,0,0,"","JavaScript,Ruby"
https://github.com/cedarcode/cose-ruby,rubygems,1153,0,0,0,0,"",Ruby
https://github.com/opal/opal,rubygems,1133,0,1,431861,1158,"","Ruby,C,Python,JavaScript,Perl,Scheme,C++,Emacs Lisp,D,Prolog"
https://github.com/graysonwright/datetime_picker_rails,rubygems,1127,0,0,0,0,"","JavaScript,Ruby"
https://github.com/jonhoo/inferno,cargo,1127,1,0,0,0,"","Rust,Perl,D,JavaScript,PHP,Python"
https://github.com/rust-sdl2/rust-sdl2,cargo,1112,1,1,330778,8941,CMake,"C,Rust,C++,Objective-C,Java,Perl,Python,JavaScript,Prolog,Swift"
https://github.com/anjlab/bootstrap-rails,rubygems,1105,0,0,0,0,"","JavaScript,Ruby"
https://github.com/jakevdp/mpld3,pypi,1100,0,0,0,0,"","Python,JavaScript"
https://github.com/liberfa/pyerfa,pypi,1071,0,1,522,0,"","C,Python"
https://github.com/danielkeep/rust-boolinator,cargo,1063,1,0,0,0,"","Python,Rust"
https://github.com/facebookresearch/xformers,pypi,1063,0,1,1421,35,"","Python,C,C++"
